date,time,weight[g],accX,accY,accZ,ActionId
10/14/2022,6:14 PM,-0.2,0,0,1,5
10/14/2022,6:14 PM,-0.6,0,0,1,5
10/14/2022,6:14 PM,-0.4,-0.1,0,1,5
10/14/2022,6:14 PM,-0.5,-0.1,0,1,5
10/14/2022,6:14 PM,-0.6,-0.1,0,1,5
10/14/2022,8:37 AM,-0.8,-0.1,0,1,6
10/14/2022,8:37 AM,-0.7,0,0,1,6
10/14/2022,8:37 AM,-0.6,-0.1,0,1,6
10/14/2022,8:37 AM,-0.5,0,0,1,6
10/14/2022,8:37 AM,-0.7,0,0,1,6
10/14/2022,8:37 AM,-0.8,0,0,1,6
10/14/2022,8:37 AM,-0.7,-0.1,0,1,6
10/14/2022,8:37 AM,-0.8,0,0,1,6
10/14/2022,8:37 AM,-0.6,0,0,1,6
10/14/2022,8:37 AM,-0.5,-0.1,0,1,6
10/14/2022,8:37 AM,-0.5,-0.1,0,1,6
10/14/2022,8:37 AM,-0.3,0,0,1,6
10/14/2022,8:37 AM,-0.2,-0.1,0,1,6
10/14/2022,8:37 AM,0.2,-0.1,0,1,6
10/14/2022,8:37 AM,0.2,0,0,1,6
10/14/2022,8:37 AM,0.4,0,0,1,6
10/14/2022,8:37 AM,0.3,-0.1,0,1,6
10/14/2022,8:37 AM,0.2,0,0,1,6
10/14/2022,8:37 AM,0,0,0,1,6
10/14/2022,8:37 AM,0,-0.1,0,1,6
10/14/2022,8:37 AM,0.1,-0.1,0,1,6
10/14/2022,8:37 AM,0.1,0,0,1,6
10/14/2022,8:37 AM,0,-0.1,0,1,6
10/14/2022,8:37 AM,0.1,-0.1,0,1,6
10/14/2022,8:37 AM,-0.1,0,0,1,6
10/14/2022,8:37 AM,-1.1,0,0,1,6
10/14/2022,8:37 AM,-1.4,0,0,1,6
10/14/2022,8:37 AM,-1.4,0,0,1,6
10/14/2022,8:37 AM,-1.4,-0.1,0,1,6
10/14/2022,8:37 AM,-1.4,0,0,1,6
10/14/2022,8:37 AM,-1.4,0,0,1,6
10/14/2022,8:37 AM,-1.4,0,0,1,6
10/14/2022,8:37 AM,-1.3,-0.1,0,1,6
10/14/2022,8:37 AM,-1.4,0,0,1,6
10/14/2022,8:37 AM,-1.4,-0.1,0,1,6
10/14/2022,8:37 AM,-1.2,-0.1,0,1,6
10/14/2022,8:37 AM,-1.2,-0.1,0,1,6
10/14/2022,8:37 AM,-1.2,-0.1,0,1,6
10/14/2022,8:37 AM,-1.2,0,0,1,6
10/14/2022,8:37 AM,-1.4,0,0,1,6
10/14/2022,8:37 AM,-1.2,0,0,1,6
10/14/2022,8:37 AM,-1,-0.1,0,1,6
10/14/2022,8:37 AM,-1.1,0,0,1,6
10/14/2022,8:37 AM,-1.2,-0.1,0,1,6
10/14/2022,8:37 AM,-1.2,0,0,1,6
10/14/2022,8:37 AM,-1.3,0,0,1,6
10/14/2022,8:37 AM,-1.3,0,0,1,6
10/14/2022,8:37 AM,-1.5,-0.1,0,1,6
10/14/2022,10:50,-1.7,0,0,1,7
10/14/2022,10:50,-1.7,0,0,1,7
10/14/2022,10:50,-1.7,-0.1,0,1,7
10/14/2022,10:50,-1.5,0,0,1,7
10/14/2022,10:50,-1.4,-0.1,0,1,7
10/14/2022,10:50,-1.4,0,0,1,7
10/14/2022,10:50,-1.5,-0.1,0,1,7
10/14/2022,10:50,1.1,0,0,1,7
10/14/2022,10:50,-1.5,-0.1,0,1,7
10/14/2022,10:50,-0.3,-0.1,-0.1,1,7
10/14/2022,10:50,-30.5,0.1,0,1,7
10/14/2022,10:50,-199.2,-0.3,0.2,1.3,7
10/14/2022,10:50,-297,0.1,-0.2,0.8,7
10/14/2022,10:50,-297.2,0,-0.1,0.8,7
10/14/2022,10:50,-297.2,0.1,-0.1,0.9,7
10/14/2022,10:50,-297.2,-0.1,-0.1,1.1,7
10/14/2022,10:50,-297.3,0,0,1,7
10/14/2022,10:50,-297.2,-0.1,0,1,7
10/14/2022,10:50,-297.3,-0.2,-0.1,1,7
10/14/2022,10:50,-297.1,-0.1,0,1.1,7
10/14/2022,10:50,-170.4,-0.1,-0.1,1,7
10/14/2022,10:50,-32.7,-0.1,0,1,7
10/14/2022,10:50,-5.1,0,0,1,7
10/14/2022,10:50,-4.8,-0.1,0,1,7
10/14/2022,10:50,81.3,-0.1,0,1,7
10/14/2022,10:50,-2.4,-0.1,0,1,7
10/14/2022,10:50,-2.2,-0.1,0,1,7
10/14/2022,10:50,-2.3,-0.1,0,1,7
10/14/2022,10:50,-2.1,-0.1,0,1,7
10/14/2022,10:50,-2.2,-0.1,0,1,7
10/14/2022,10:50,-1.9,-0.1,0,1,7
10/14/2022,10:50,-1.9,-0.1,0,1,7
10/14/2022,10:50,-1.8,-0.1,0,1,7
10/14/2022,10:50,-1.8,-0.1,0,1,7
10/14/2022,10:50,-1.9,-0.1,0,1,7
10/14/2022,10:50,-2,-0.1,0,1,7
10/14/2022,10:50,-2,-0.1,0,1,7
10/14/2022,10:50,-1.9,-0.1,0,1,7
10/14/2022,10:50,-2,-0.1,0,1,7
10/14/2022,10:50,-2,-0.1,0,1,7
10/14/2022,10:50,-2,-0.1,0,1,7
10/14/2022,10:50,-2.2,-0.1,0,1,7
10/14/2022,3:51 PM,-1.6,-0.1,0,1,8
10/14/2022,3:51 PM,-1.4,-0.1,0,1,8
10/14/2022,3:51 PM,-1.4,-0.1,0,1,8
10/14/2022,3:51 PM,-1.3,0,0,1,8
10/14/2022,3:51 PM,-1.6,-0.1,0,1,8
10/14/2022,3:51 PM,-1.8,-0.1,0,1,8
10/14/2022,3:51 PM,-1.4,-0.1,0,1,8
10/14/2022,3:51 PM,-1.4,-0.1,0,1,8
10/14/2022,3:51 PM,-1.3,-0.1,0,1,8
10/14/2022,3:51 PM,-1.5,-0.1,0,1,8
10/14/2022,3:51 PM,-1.4,-0.1,0,1,8
10/14/2022,3:51 PM,-1.4,-0.1,0,1,8
10/14/2022,3:51 PM,-1.4,-0.1,0,1,8
10/14/2022,3:51 PM,-1.3,-0.1,0,1,8
10/14/2022,3:51 PM,-1.4,-0.1,0,1,8
10/14/2022,3:51 PM,-1.5,-0.1,0,1,8
10/14/2022,3:51 PM,-1.4,-0.1,0,1,8
10/14/2022,3:51 PM,-1.5,-0.1,0,1,8
10/14/2022,3:51 PM,-1.3,-0.1,0,1,8
10/14/2022,3:51 PM,-1.4,-0.1,0,1,8
10/14/2022,3:51 PM,-1.4,0,0,1,8
10/14/2022,3:51 PM,-1.5,-0.1,0,1,8
10/14/2022,3:51 PM,-1.4,-0.1,0,1,8
10/14/2022,3:51 PM,-1.4,-0.1,0,1,8
10/14/2022,3:51 PM,1,0,0,1,8
10/14/2022,3:51 PM,1.7,-0.1,0,1,8
10/14/2022,3:51 PM,3.9,-0.1,0,1,8
